indice-de-tiempo,pais_id,pais,provincia_id,provincia,producto_id,producto,unidad_de medida,cantidad
2014-06,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,375
2014-07,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,407
2014-08,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,386
2014-09,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,388
2014-10,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,396
2014-11,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,402
2014-12,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,412
2015-01,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,412
2015-02,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,426
2015-03,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,452
2015-04,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,432
2015-05,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,421
2015-06,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,402
2015-07,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,428
2015-08,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,424
2015-09,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,430
2015-10,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,421
2015-11,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,402
2015-12,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,434
2016-01,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,543
2016-02,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,570
2016-03,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,604
2016-04,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,521
2016-05,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,507
2016-06,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,501
2016-07,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,538
2016-08,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,437
2016-09,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,396
2016-10,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,415
2016-11,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,317
2016-12,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,368
2017-01,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,333
2017-02,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,444
2017-03,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,319
2017-04,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,402
2017-05,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,445
2017-06,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,465
2017-07,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,404
2017-08,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,437
2014-01,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,463
2014-02,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,491
2014-03,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,552
2014-04,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,574
2014-05,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,549
2014-06,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,474
2014-07,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,478
2014-08,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,455
2014-09,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,415
2014-10,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,421
2014-11,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,450
2014-12,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,434
2015-01,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,504
2015-02,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,549
2015-03,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,566
2015-04,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,518
2015-05,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,486
2015-06,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,478
2015-07,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,449
2015-08,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,429
2015-09,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,415
2015-10,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,424
2015-11,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,438
2015-12,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,470
2016-01,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,548
2016-02,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,585
2016-03,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,628
2016-04,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,696
2016-05,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,772
2016-06,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,672
2016-07,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,651
2016-08,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,487
2016-09,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,433
2016-10,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,436
2016-11,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,411
2016-12,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,431
2017-01,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,473
2017-02,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,465
2017-03,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,526
2017-04,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,521
2017-05,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,480
2017-06,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,613
2017-07,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,441
2017-08,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de células,422
2014-01,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de células,462
2014-02,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de células,486
2014-03,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de células,526
2014-04,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de células,519
2014-05,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de células,480
2014-06,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de células,451
2014-07,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de células,458
2014-08,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de células,441
2014-09,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de células,429
2014-10,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de células,411
2014-11,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de células,440
2014-12,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de células,475
2015-01,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de células,522
2015-02,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de células,559
2015-03,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de células,567
2015-04,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de células,543
2015-05,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de células,450
2015-06,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de células,438
2015-07,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de células,433
2015-08,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de células,400
